iter	Passed	Remaining
788	1613	431
789	1614	429
790	1616	427
791	1617	424
792	1618	422
793	1621	420
794	1622	418
795	1623	416
796	1624	413
797	1626	411
798	1627	409
799	1629	407
800	1630	405
801	1632	402
802	1633	400
803	1635	398
804	1637	396
805	1639	394
806	1640	392
807	1642	390
808	1643	388
809	1644	385
810	1646	383
811	1647	381
812	1649	379
813	1651	377
814	1652	375
815	1654	373
816	1656	371
817	1657	368
818	1659	366
819	1661	364
820	1662	362
821	1663	360
822	1665	358
823	1666	356
824	1668	353
825	1670	351
826	1671	349
827	1673	347
828	1674	345
829	1676	343
830	1678	341
831	1680	339
832	1681	337
833	1683	335
834	1685	333
835	1686	330
836	1688	328
837	1689	326
838	1691	324
839	1692	322
840	1694	320
841	1696	318
842	1698	316
843	1700	314
844	1701	312
845	1702	309
846	1703	307
847	1704	305
848	1706	303
849	1708	301
850	1710	299
851	1711	297
852	1713	295
853	1715	293
854	1717	291
855	1718	289
856	1720	287
857	1721	284
858	1722	282
859	1724	280
860	1726	278
861	1728	276
862	1730	274
863	1732	272
864	1733	270
865	1735	268
866	1737	266
867	1739	264
868	1741	262
869	1743	260
870	1744	258
871	1746	256
872	1748	254
873	1750	252
874	1751	250
875	1753	248
876	1755	246
877	1757	244
878	1759	242
879	1761	240
880	1762	238
881	1764	236
882	1767	234
883	1769	232
884	1770	230
885	1772	228
886	1774	226
887	1775	223
888	1777	221
889	1779	219
890	1781	217
891	1782	215
892	1783	213
893	1785	211
894	1787	209
895	1789	207
896	1791	205
897	1793	203
898	1794	201
899	1795	199
900	1797	197
901	1798	195
902	1799	193
903	1801	191
904	1803	189
905	1804	187
906	1806	185
907	1808	183
908	1809	181
909	1810	179
910	1812	177
911	1813	174
912	1815	173
913	1817	170
914	1818	168
915	1821	167
916	1823	165
917	1825	163
918	1826	161
919	1828	158
920	1830	156
921	1831	154
922	1833	152
923	1835	150
924	1837	148
925	1838	146
926	1840	144
927	1842	142
928	1843	140
929	1845	138
930	1847	136
931	1849	134
932	1851	132
933	1853	130
934	1854	128
935	1856	126
936	1858	124
937	1860	122
938	1862	120
939	1864	119
940	1866	117
941	1868	115
942	1870	113
943	1872	111
944	1874	109
945	1875	107
946	1877	105
947	1878	103
